Pena em Dias;Crime
1167;furto_qualificado
0;furto_qualificado
730;furto_qualificado
0;furto_qualificado
1215;furto_qualificado
1105;furto_qualificado
0;furto_qualificado
850;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
850;furto_qualificado
910;furto_qualificado
0;furto_qualificado
0;furto_qualificado
730;furto_qualificado
0;furto_qualificado
1460;furto_qualificado
850;furto_qualificado
0;furto_qualificado
425;furto_qualificado
1095;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
545;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
730;furto_qualificado
0;furto_qualificado
730;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
1460;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
885;furto_qualificado
0;furto_qualificado
1825;furto_qualificado
0;furto_qualificado
0;furto_qualificado
1215;furto_qualificado
730;furto_qualificado
0;furto_qualificado
0;furto_qualificado
1158;furto_qualificado
730;furto_qualificado
730;furto_qualificado
0;furto_qualificado
850;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
1095;furto_qualificado
0;furto_qualificado
730;furto_qualificado
730;furto_qualificado
0;furto_qualificado
970;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
820;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
0;furto_qualificado
2270;furto_qualificado
0;furto_qualificado
0;furto_qualificado
850;furto_qualificado
1095;furto_qualificado
0;furto_qualificado
0;furto_qualificado
365;furto_qualificado
0;furto_qualificado
2920;furto_qualificado
0;furto_qualificado
990;furto_qualificado
730;furto_qualificado
1460;furto_qualificado
0;furto_qualificado
5960;furto_qualificado
0;furto_qualificado
0;furto_qualificado
1460;furto_qualificado
