Pena em Dias;Crime
365;furto_simples
850;furto_simples
0;furto_simples
730;furto_simples
0;furto_simples
425;furto_simples
0;furto_simples
0;furto_simples
1700;furto_simples
0;furto_simples
1415;furto_simples
730;furto_simples
850;furto_simples
485;furto_simples
0;furto_simples
1460;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
2190;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
730;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
1825;furto_simples
365;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
730;furto_simples
730;furto_simples
1460;furto_simples
1095;furto_simples
3650;furto_simples
2190;furto_simples
0;furto_simples
0;furto_simples
1158;furto_simples
0;furto_simples
0;furto_simples
730;furto_simples
2920;furto_simples
437;furto_simples
0;furto_simples
0;furto_simples
365;furto_simples
0;furto_simples
1945;furto_simples
0;furto_simples
0;furto_simples
425;furto_simples
730;furto_simples
0;furto_simples
5840;furto_simples
0;furto_simples
0;furto_simples
730;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
3650;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
850;furto_simples
0;furto_simples
0;furto_simples
730;furto_simples
0;furto_simples
0;furto_simples
1460;furto_simples
0;furto_simples
0;furto_simples
850;furto_simples
365;furto_simples
365;furto_simples
0;furto_simples
1460;furto_simples
0;furto_simples
365;furto_simples
425;furto_simples
365;furto_simples
0;furto_simples
0;furto_simples
1335;furto_simples
425;furto_simples
3650;furto_simples
0;furto_simples
730;furto_simples
1105;furto_simples
365;furto_simples
0;furto_simples
0;furto_simples
0;furto_simples
1460;furto_simples
0;furto_simples
