Pena em Dias;Crime
3650;roubo_majorado
0;roubo_majorado
0;roubo_majorado
1945;roubo_majorado
0;roubo_majorado
0;roubo_majorado
3746;roubo_majorado
0;roubo_majorado
2920;roubo_majorado
2310;roubo_majorado
3133;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
2310;roubo_majorado
1945;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
4380;roubo_majorado
0;roubo_majorado
3890;roubo_majorado
1945;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
6570;roubo_majorado
0;roubo_majorado
2370;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
1945;roubo_majorado
2835;roubo_majorado
545;roubo_majorado
0;roubo_majorado
0;roubo_majorado
1460;roubo_majorado
2200;roubo_majorado
3240;roubo_majorado
0;roubo_majorado
0;roubo_majorado
3285;roubo_majorado
0;roubo_majorado
3190;roubo_majorado
0;roubo_majorado
2705;roubo_majorado
3405;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
1945;roubo_majorado
5960;roubo_majorado
0;roubo_majorado
6003;roubo_majorado
1460;roubo_majorado
0;roubo_majorado
2980;roubo_majorado
2280;roubo_majorado
2370;roubo_majorado
2920;roubo_majorado
2041;roubo_majorado
0;roubo_majorado
2555;roubo_majorado
0;roubo_majorado
2520;roubo_majorado
3650;roubo_majorado
2310;roubo_majorado
0;roubo_majorado
8120;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
0;roubo_majorado
2980;roubo_majorado
2675;roubo_majorado
0;roubo_majorado
5045;roubo_majorado
3783;roubo_majorado
0;roubo_majorado
0;roubo_majorado
2005;roubo_majorado
0;roubo_majorado
1945;roubo_majorado
0;roubo_majorado
2280;roubo_majorado
0;roubo_majorado
0;roubo_majorado
7300;roubo_majorado
2270;roubo_majorado
1945;roubo_majorado
1460;roubo_majorado
0;roubo_majorado
0;roubo_majorado
