Pena em Dias;Crime
1700;roubo_simples
3240;roubo_simples
0;roubo_simples
3890;roubo_simples
3240;roubo_simples
2005;roubo_simples
1700;roubo_simples
0;roubo_simples
1945;roubo_simples
0;roubo_simples
0;roubo_simples
2065;roubo_simples
0;roubo_simples
0;roubo_simples
0;roubo_simples
4380;roubo_simples
2799;roubo_simples
0;roubo_simples
0;roubo_simples
5126;roubo_simples
0;roubo_simples
5110;roubo_simples
1460;roubo_simples
0;roubo_simples
0;roubo_simples
1915;roubo_simples
1945;roubo_simples
3300;roubo_simples
0;roubo_simples
0;roubo_simples
1945;roubo_simples
2310;roubo_simples
0;roubo_simples
2779;roubo_simples
1460;roubo_simples
2645;roubo_simples
3650;roubo_simples
0;roubo_simples
0;roubo_simples
0;roubo_simples
1945;roubo_simples
0;roubo_simples
0;roubo_simples
0;roubo_simples
3088;roubo_simples
365;roubo_simples
2980;roubo_simples
0;roubo_simples
2835;roubo_simples
0;roubo_simples
0;roubo_simples
1460;roubo_simples
3495;roubo_simples
5110;roubo_simples
0;roubo_simples
1460;roubo_simples
5460;roubo_simples
0;roubo_simples
0;roubo_simples
2310;roubo_simples
19220;roubo_simples
1460;roubo_simples
1825;roubo_simples
3352;roubo_simples
0;roubo_simples
4385;roubo_simples
0;roubo_simples
10220;roubo_simples
0;roubo_simples
4255;roubo_simples
2005;roubo_simples
2005;roubo_simples
0;roubo_simples
1945;roubo_simples
0;roubo_simples
4015;roubo_simples
1730;roubo_simples
2648;roubo_simples
3285;roubo_simples
5675;roubo_simples
2430;roubo_simples
1460;roubo_simples
2735;roubo_simples
2920;roubo_simples
0;roubo_simples
4036;roubo_simples
0;roubo_simples
1945;roubo_simples
1945;roubo_simples
0;roubo_simples
1460;roubo_simples
0;roubo_simples
749;roubo_simples
3220;roubo_simples
2430;roubo_simples
0;roubo_simples
0;roubo_simples
0;roubo_simples
365;roubo_simples
3510;roubo_simples
3250;roubo_simples
